IP,Protocols,Country,RegisteredCountry,Longitude,Latitude,City,RegisteredCountyCode,CountryCode,Province,PostalCode,TimeZone,Continent,FingerprintSha256,SubjectDn,IssuerDn,Domain,AlexaRank
,,,,0E+00,0E+00,,,,,,,,5d81492172fa289c359c5d0f0fb22539d5a59da3808714b21b126c72239b9eac,CN=pub-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,1885d8302ccfb368c5a2346d471545397c4edacbec9ebeed2e2bb73b59a34e58,CN=accounts.xls-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,2fcde0914b19089ecec7e7cffe9ebcf0774b0f55e7dd0a3f15b64ca1b732eb64,CN=ms-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,0f5a04cf38a821cd3b9c5a2d6370fecbbddbc6412b70d121b81578e2de326f27,CN=www.bt-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,f144c30350d8ecef04b2c55d70b619922acebc45b755a81c8c6c038a3b4a962a,CN=www.bt-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,fd17ebb46cd4094a36dc019f336828a7c60cabbbfbcd15d1388c26edd29dd437,CN=xls-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,5afcd781cd7376e35b992ec878db7ab0045720b38a1eeb91bcc709b0facf78d8,CN=www.mm-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,426a5ad3ebb9039b902f96721e33d3e70f1ab4809572d23b03fd891420d53a8c,CN=myaccounte-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,b0a312ceaf154ad0173ba54d3a30b6bbfbce9328f17f3aa8ea682a949cf0e08d,CN=www.taxi-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,aa66b9a4cab7bfad0f2d12d12844f2d399efc6ce133d284b1c3e904c4acaf27f,CN=*.hr-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,b27eb476b67f104d7bd769db59c8585d9c6ac14737d4e3555426fbfbc00a7d6e,CN=www.doodle-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,6cc29eafdbccc8a79f5eb3511d3c8f320c0ef456ada2b60d89ff9639ad12a2e2,CN=flights-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,d52f237b55fea1cce10eb1838424a1c4e8aa4b6e9cd7084dd5b161fe1500638f,CN=engine-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,64faec9654873292eefa44faea38d3b0ed2c07bf73fc9049b52162a5f17856bb,CN=www.mm-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,2829d342edf4a7495feffc428015e60e83cd948de48d53e945e77c338b6afb58,CN=www.notifications-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,243f6bc46bda0b7a917a8335acf5db8e26bdfd3815f6a9b467ece92e3390cc54,CN=www.bt-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,7d66ed19ec957017c0aa9b53dd5bf733999e9b6859af8f8ea85dff0653cd2277,CN=how-to-ask-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,f8503fa5a6bcafe817c9fb47967ea4da1884f0b59161cb861cb003a1df55f36c,CN=top10-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,1f832fd2fb0965ef7797e77ffa3d0443274e8afb89e66ee4aea56079a8019ec9,CN=removals-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,3638e4d98a902d29c5e8d257a3aa09cd103aa3997c5e7810ce520d83515f7dfe,CN=mail2-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,b3ce03bf5a9d195cdca0b6644f797c4ada134539d1d6b65508d7797b5808bbea,CN=www.bt-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,c1200f7efbb2bdb8ca58c05c54926747ed1be1253cbc03f4b290ba4f2f695d05,CN=pub-google.com,"C=GB, ST=Greater Manchester, L=Salford, O=Sectigo Limited, CN=Sectigo RSA Domain Validation Secure Server CA",,0
,,,,0E+00,0E+00,,,,,,,,dce1c90259a8865bc4ecade0106be449f7bda25f35999a234f37774453bd3ed9,CN=www.mm-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,ed60193388bfee4fad9b878b670e25bd8667926103455fe0e943b80ab53cb858,CN=www.notifications-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,669379c56e977a4ecabbbe8411d876f13bc7e6a99e2d8412c834833681e68b0a,CN=*.sue-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,21d55e5103858c69f715e6030a09175e3838ab5704ef277a412321b32ba3e244,CN=*.xls-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,18ebe8b682bf5a43dad12fd6b62352064d9d59685fd5a1cfc07eb20affbb492a,CN=social-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,8433396e4092029e737ffb9a64b0feab3b1b9b5d94e628eb4f20e83f4fc2ebe7,CN=flights-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,2b199d256a184ad56098cb3d8be8faac5859afbc9612a35ded9a864cb9696f38,CN=how-to-ask-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,4cd1d4f987a2fdf95d0f15c4c00a9eb5141f1624b790da38a0330cdd47540dcf,CN=*.hr-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,c3a55f03dde200b2611b39f2021684f5b38c1d834e1a8944882f29abac271a88,CN=www.doodle-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
